date,sales,volume,final,clear,ssn,time,model_year,model,make
2/24/2017,10850,28330,29187,27737,740-46-3182,2:24 AM,1992,9000,Saab
7/17/2017,14036,14675,29769,37306,406-63-6224,4:46 PM,1995,DeVille,Cadillac
11/5/2016,11348,25826,20927,27668,442-01-8981,8:51 PM,1988,RX-7,Mazda
4/14/2017,14271,10612,27468,37711,272-82-5081,11:50 AM,2008,Focus,Ford
8/30/2017,16701,26632,26497,22199,722-21-7826,6:10 AM,2000,Savana 1500,GMC
11/25/2016,13505,24281,27295,16274,803-83-0798,6:26 PM,1993,Tercel,Toyota
7/15/2017,19839,29217,28817,36931,124-31-0997,5:45 PM,2005,E-Series,Ford
11/13/2016,17432,17458,26277,29729,773-84-6376,10:20 PM,1997,T100,Toyota
3/26/2017,18575,12504,21992,10075,279-50-3999,9:04 AM,2012,E-Class,Mercedes-Benz
8/7/2017,19118,14322,23208,19829,489-87-0157,8:20 AM,2011,Colorado,Chevrolet
1/25/2017,16042,28262,27161,26583,574-17-1891,11:19 PM,1998,2500,GMC
1/9/2017,12944,17892,24930,24599,790-41-8770,6:35 PM,2006,Tiburon,Hyundai
10/10/2016,19620,28563,28450,29826,169-61-5362,1:24 PM,2012,C/V,Ram
7/20/2017,18296,18029,23267,25130,758-83-6963,6:44 PM,2010,Santa Fe,Hyundai
2/20/2017,14932,21115,26516,31468,740-43-6993,11:40 AM,2005,Pilot,Honda
10/17/2016,17526,29282,25126,18406,459-94-9913,11:18 PM,1993,LeBaron,Chrysler
11/25/2016,17504,11729,21222,15332,457-36-1779,11:27 PM,2011,Challenger,Dodge
3/20/2017,10195,28636,29332,22023,545-49-4163,5:31 AM,2011,Caravan,Dodge
6/13/2017,10681,26686,20142,34171,886-11-4088,7:00 PM,2007,Commander,Jeep
7/21/2017,14941,17122,22254,20118,372-86-5152,10:28 AM,2008,Tacoma,Toyota
10/19/2016,16398,10413,23449,12850,818-81-5430,5:47 PM,1999,Silverado 2500,Chevrolet
6/11/2017,12763,23534,24559,23466,445-69-8974,6:58 AM,2001,Durango,Dodge
5/27/2017,17116,29791,23661,23080,194-19-6015,12:39 AM,2008,RS 4,Audi
6/30/2017,10026,26967,29352,36776,688-83-6285,1:14 PM,2000,Esteem,Suzuki
8/19/2017,12295,29922,25397,24618,447-04-1454,12:45 PM,2011,Element,Honda
8/11/2017,16703,23918,21423,19573,503-72-4983,7:02 PM,2004,Mustang,Ford
9/25/2017,15746,26663,29877,33580,498-93-6710,3:50 AM,2011,Exige,Lotus
5/7/2017,10199,12284,23002,24409,652-59-9666,7:51 PM,2006,Rabbit,Volkswagen
3/9/2017,16462,24161,25062,14939,784-10-0888,9:50 PM,2006,Range Rover,Land Rover
9/1/2017,13748,29040,21330,21953,456-88-0907,9:20 AM,1995,7 Series,BMW
5/1/2017,12520,12837,29171,29182,660-31-7353,7:15 PM,1996,RAV4,Toyota
5/20/2017,13682,27305,25934,16394,226-80-5760,6:47 AM,2004,Passat,Volkswagen
11/8/2016,15421,19885,25432,13678,364-96-9955,12:18 AM,2002,Trooper,Isuzu
11/14/2016,16735,18447,20378,28549,665-89-6789,4:54 PM,1996,Trooper,Isuzu
3/1/2017,15580,15842,25562,16065,704-18-1348,4:21 PM,2012,X5 M,BMW
2/23/2017,19558,25658,22553,26603,813-50-9439,4:02 AM,2011,Galant,Mitsubishi
1/25/2017,15329,28414,24238,15194,298-88-8078,1:36 PM,1984,Bronco,Ford
4/2/2017,19348,18389,23383,24413,536-14-0154,2:33 PM,2008,S4,Audi
8/11/2017,19095,24366,28173,22878,546-79-7098,10:51 PM,1995,Explorer,Ford
9/25/2017,15665,13758,25447,31955,846-06-9625,4:59 PM,1990,929,Mazda
3/1/2017,11615,20965,25640,38507,573-55-0713,6:44 PM,2008,Commander,Jeep
1/29/2017,14179,19363,24941,10816,293-28-2986,1:48 PM,2012,Avenger,Dodge
4/15/2017,11578,16207,28175,35088,411-33-0914,1:47 AM,2011,Z4,BMW
11/21/2016,19008,13514,22474,14314,302-70-1422,1:31 AM,1995,Tacoma,Toyota
4/9/2017,15550,22784,21413,10932,396-14-2403,7:41 PM,2005,Insight,Honda
3/5/2017,10810,16909,23411,17161,715-65-3871,7:24 PM,1997,Savana 3500,GMC
8/4/2017,15775,25867,20836,29659,221-50-1376,10:00 PM,2010,F150,Ford
12/26/2016,14370,28895,22665,34646,111-24-9497,7:11 PM,1992,1500,Chevrolet
1/28/2017,18489,18010,23170,36387,709-67-4233,3:27 PM,1960,Rockette,Fairthorpe
3/11/2017,14246,15952,27111,28668,873-54-8329,6:26 PM,2010,Wrangler,Jeep
4/8/2017,19946,17511,25008,29756,831-89-9573,5:37 AM,2010,GL-Class,Mercedes-Benz
6/4/2017,11437,28218,23013,13444,526-56-5929,6:27 AM,1997,Aerostar,Ford
6/18/2017,11789,26469,21100,22325,767-75-1143,11:31 PM,2003,Matrix,Toyota
1/28/2017,10222,22094,25875,36344,240-86-4302,7:41 AM,1989,Laser,Ford
4/5/2017,14372,29853,24108,22138,721-17-7869,11:43 AM,2006,760,BMW
9/18/2017,16118,29264,28667,21631,711-92-1529,10:15 PM,1992,Prelude,Honda
5/26/2017,13710,25817,21788,19088,349-12-8642,2:13 AM,2006,Baja,Subaru
6/7/2017,14216,21736,25691,12853,467-90-0257,7:31 AM,2000,A6,Audi
10/26/2016,18985,17244,20027,14483,623-41-4948,3:16 PM,2001,TL,Acura
4/8/2017,18680,10112,22690,27756,252-70-1340,7:27 PM,2005,Matrix,Toyota
3/2/2017,10690,16473,25795,13417,305-69-2011,8:08 PM,2012,Escalade,Cadillac
2/5/2017,13651,17011,20280,17054,882-71-5229,5:14 AM,1990,Talon,Eagle
10/10/2016,15011,16061,22899,10162,428-06-2972,2:53 AM,1988,Regal,Buick
11/28/2016,14510,28552,20889,15467,386-50-7782,11:26 AM,2010,MKS,Lincoln
7/19/2017,19565,13073,29122,36133,335-04-3178,1:16 PM,1999,E-Class,Mercedes-Benz
11/4/2016,16004,16553,23303,18675,460-79-4192,6:51 AM,1992,Tercel,Toyota
11/3/2016,10721,11124,28481,11783,655-88-8861,6:43 AM,2011,Miata MX-5,Mazda
4/23/2017,14561,27230,28416,32060,516-49-6287,10:16 PM,2003,New Beetle,Volkswagen
1/15/2017,12094,15651,25124,11468,641-15-3044,12:00 PM,1989,Cougar,Mercury
12/26/2016,10357,10999,22240,32636,801-48-3527,3:08 AM,2004,Elantra,Hyundai
4/15/2017,10884,17439,22528,24886,167-59-5552,6:15 AM,2012,GTI,Volkswagen
11/22/2016,19757,10998,24963,34636,867-74-3410,6:49 AM,2007,Boxster,Porsche
10/21/2016,10495,17958,20555,28165,846-52-8628,11:15 PM,2001,9-5,Saab
5/11/2017,19140,19908,20656,30010,220-23-1514,8:33 PM,2003,XC90,Volvo
8/25/2017,11641,16851,25592,21506,691-32-4984,1:33 AM,1994,Park Avenue,Buick
11/1/2016,12767,21667,22957,17078,373-39-8540,7:07 AM,1991,Legacy,Subaru
3/8/2017,15993,22327,23184,33628,857-88-1858,5:12 AM,2007,Touareg,Volkswagen
5/1/2017,16722,19380,29388,36156,473-27-3905,1:55 AM,1995,Discovery,Land Rover
11/13/2016,19020,12962,20491,30366,291-81-4089,6:34 AM,1995,Cavalier,Chevrolet
3/20/2017,12963,11601,27243,26195,527-52-1160,1:03 PM,2004,Canyon,GMC
3/13/2017,18717,18660,21648,34993,574-24-1246,12:01 AM,1995,Passat,Volkswagen
2/8/2017,11932,29508,28525,25932,138-52-9316,2:09 PM,1996,Quest,Nissan
3/21/2017,13819,14754,26960,28344,877-87-7422,8:34 AM,2000,3500,Chevrolet
2/27/2017,16609,16567,21019,16220,573-81-9957,10:54 AM,1995,98,Oldsmobile
2/20/2017,16184,10001,25423,27290,495-06-9665,8:54 AM,2006,Five Hundred,Ford
8/24/2017,15439,19819,28034,17738,840-04-7588,2:00 AM,2000,Ram 1500 Club,Dodge
4/4/2017,11034,10996,26488,14929,464-69-8173,7:16 AM,1996,Ram 3500 Club,Dodge
11/6/2016,18027,16854,27063,12640,657-08-8119,10:24 AM,2006,Montero,Mitsubishi
6/5/2017,19668,13939,24654,32549,243-29-0496,4:30 PM,2003,Taurus,Ford
8/29/2017,17119,10223,20503,31749,546-43-8534,10:39 AM,1997,S-Class,Mercedes-Benz
12/25/2016,19811,18874,23817,29973,265-41-2111,4:44 PM,2010,C-Class,Mercedes-Benz
8/26/2017,16237,10035,23573,24261,641-08-6496,6:09 AM,2001,Aurora,Oldsmobile
12/12/2016,11205,14554,26134,31844,898-63-7944,9:37 AM,1999,Windstar,Ford
11/8/2016,14166,11153,27886,14307,149-21-6760,2:04 AM,2012,Mazdaspeed 3,Mazda
4/12/2017,14713,20461,20358,29187,642-32-6356,9:10 AM,1985,LeSabre,Buick
8/2/2017,15773,22129,23341,24024,295-01-9715,4:27 PM,1989,430,Maserati
6/13/2017,15090,28763,22014,25307,763-07-1245,4:29 PM,1996,Elantra,Hyundai
10/21/2016,17546,27073,28087,15475,194-58-9938,10:30 AM,1998,G-Series 2500,Chevrolet
2/1/2017,11665,17261,26486,37268,814-36-9117,2:45 AM,2006,Optima,Kia
4/19/2017,14895,14965,28854,28336,882-16-0599,10:21 PM,2011,Corolla,Toyota
6/11/2017,18143,16456,29077,35024,726-56-0308,9:56 AM,2010,MDX,Acura
1/27/2017,18592,23897,29855,32656,302-28-6683,5:15 AM,2009,F350,Ford
11/7/2016,15467,24885,20209,33173,800-48-3102,9:59 PM,2011,Routan,Volkswagen
9/23/2017,12809,10826,26529,19007,308-74-9453,9:04 PM,2008,Murciélago,Lamborghini
11/25/2016,18662,28828,22332,39958,861-79-4727,9:11 PM,1984,Biturbo,Maserati
6/6/2017,17605,25027,27055,11661,504-96-2462,3:17 PM,2001,Boxster,Porsche
6/23/2017,15655,12372,21471,25535,128-93-7372,2:53 AM,2006,Endeavor,Mitsubishi
6/23/2017,19317,12781,27053,20793,569-05-2087,4:58 PM,1992,Integra,Acura
3/29/2017,14817,12343,28324,37046,282-58-7670,8:35 AM,2003,GS,Lexus
4/30/2017,11117,29497,24309,12989,538-05-3861,8:37 AM,2008,Envoy,GMC
7/23/2017,15856,23330,26270,24571,391-46-0386,1:41 PM,1990,Type 2,Volkswagen
6/28/2017,18276,19751,27778,10487,605-43-0302,12:28 AM,2002,Nubira,Daewoo
5/23/2017,10311,24328,21567,23550,559-32-6547,9:50 PM,1996,Discovery,Land Rover
1/7/2017,10021,14988,22090,30611,620-65-5746,12:13 PM,2001,Echo,Toyota
1/16/2017,11102,20013,21778,33655,317-17-0431,10:55 AM,1987,Type 2,Volkswagen
11/25/2016,11560,29464,24421,12168,513-20-8703,1:11 PM,2008,Optima,Kia
3/24/2017,16669,18344,27735,33158,349-23-6781,4:22 AM,1993,300E,Mercedes-Benz
1/2/2017,15157,11714,20584,30858,606-72-0804,3:12 AM,1989,Regal,Buick
8/11/2017,14620,28380,24305,15226,208-37-3073,7:06 PM,2007,599 GTB Fiorano,Ferrari
6/5/2017,19647,18768,20820,38581,458-60-4035,1:47 PM,2003,Impreza,Subaru
5/17/2017,10083,15029,27540,37433,690-69-1764,10:38 AM,2011,Equator,Suzuki
2/12/2017,17056,13215,26458,35420,668-71-8102,9:22 PM,1997,Probe,Ford
7/23/2017,18778,13357,21900,27126,586-60-7852,12:14 AM,2007,Altima,Nissan
5/3/2017,11350,20639,24491,37376,552-07-5435,2:34 AM,1986,Mustang,Ford
11/11/2016,12692,29105,27038,15883,396-28-7464,9:40 PM,1967,Fairlane,Ford
10/3/2017,16905,15081,27324,36683,396-22-9423,12:52 PM,1996,G-Series 2500,Chevrolet
5/27/2017,16844,15648,21329,35818,331-17-6401,2:50 AM,2009,Continental Flying Spur,Bentley
6/17/2017,12980,25500,21940,36079,726-73-0493,9:23 AM,2003,Pajero,Mitsubishi
10/31/2016,11174,24219,21641,16576,815-90-8135,10:16 AM,2010,Focus,Ford
6/8/2017,13407,11068,25683,28944,838-53-2906,3:03 AM,1979,Mustang,Ford
7/2/2017,12647,10891,24838,23002,488-44-1889,11:38 PM,1995,Cabriolet,Audi
10/6/2016,17629,18596,23256,15399,690-46-9120,10:00 PM,1988,Integra,Acura
3/25/2017,18010,22397,26875,35406,586-76-8674,10:00 PM,2002,S40,Volvo
12/9/2016,10302,20572,24354,22293,705-05-1280,9:16 AM,2001,M5,BMW
4/13/2017,16498,18074,24118,33652,611-94-7776,2:37 PM,2007,Suburban 1500,Chevrolet
5/22/2017,13188,13048,22039,22857,350-59-1680,4:28 AM,1993,500SEC,Mercedes-Benz
3/27/2017,11837,29245,28576,27903,817-23-1992,7:44 AM,2009,A4,Audi
4/23/2017,18283,27790,20305,24782,427-55-3618,8:22 AM,2005,Endeavor,Mitsubishi
2/3/2017,15585,13904,24152,39119,111-34-1270,6:56 PM,2000,Leganza,Daewoo
5/10/2017,11122,16243,20197,16224,892-09-9419,6:37 AM,1990,90,Audi
2/28/2017,17066,17653,29429,39762,391-74-6147,1:43 AM,2003,M3,BMW
5/3/2017,10692,28915,29705,31725,573-20-8299,4:10 PM,2008,Continental Flying Spur,Bentley
11/13/2016,13208,25998,26756,38992,194-08-6493,7:58 AM,1991,911,Porsche
5/9/2017,12756,21079,23371,20849,772-82-2278,12:42 AM,1999,Forester,Subaru
5/20/2017,15953,28672,26493,17562,553-84-3519,4:46 PM,2003,CL-Class,Mercedes-Benz
1/7/2017,19185,17250,21970,29670,534-24-0126,5:54 AM,2012,Forester,Subaru
9/18/2017,14720,28811,25835,37444,822-82-5175,8:25 AM,2001,Suburban 1500,Chevrolet
4/22/2017,16123,15527,26583,22664,702-03-0501,10:11 PM,1992,Thunderbird,Ford
9/21/2017,17257,17240,23670,30245,402-85-3089,9:32 AM,2008,G35,Infiniti
2/7/2017,19081,15866,25814,23425,336-37-9933,1:49 AM,1993,Ram Van B350,Dodge
6/7/2017,14137,15934,24883,32301,523-65-3367,8:47 AM,1993,Loyale,Subaru
7/27/2017,15123,29499,26020,34653,612-77-1007,8:11 AM,2001,Spectra,Kia
10/12/2016,13114,15481,20710,35893,362-05-8694,6:46 AM,1998,Passat,Volkswagen
10/1/2017,15363,22301,27279,33542,490-45-4546,6:12 PM,2003,Rodeo,Isuzu
6/10/2017,17517,25544,27252,20744,582-15-8794,10:54 AM,2012,Grand Caravan,Dodge
4/7/2017,17690,17897,29291,37874,640-79-1013,11:26 PM,1991,944,Porsche
8/30/2017,13395,23161,27173,34093,789-62-0780,6:58 PM,1993,Ranger,Ford
3/21/2017,19645,14605,24871,27975,221-05-4471,6:39 AM,2002,Passat,Volkswagen
6/22/2017,10108,14492,28806,28050,534-46-3135,12:35 AM,1994,Grand Voyager,Plymouth
8/29/2017,16028,26307,21261,33523,565-38-0446,3:26 AM,1992,Riviera,Buick
9/28/2017,16520,16776,27691,16021,199-23-8217,12:53 PM,1985,RX-7,Mazda
2/1/2017,19014,23184,26765,15676,633-12-4708,4:06 AM,2007,Sierra 1500,GMC
10/18/2016,18288,29288,27942,10538,808-80-1484,11:23 PM,2006,Yukon XL,GMC
11/21/2016,18612,12297,22291,37543,654-97-3824,2:02 AM,1994,Colt,Dodge
10/16/2016,17806,25019,28063,22503,237-59-0793,9:38 PM,2007,612 Scaglietti,Ferrari
4/4/2017,13136,21188,22377,15445,539-42-1728,4:44 PM,2011,SX4,Suzuki
12/11/2016,15280,18320,25220,39317,420-02-0651,4:17 AM,1988,928,Porsche
9/28/2017,19863,15774,26009,13816,170-67-8078,5:33 AM,2010,Altima,Nissan
10/26/2016,10206,11873,20750,26670,266-11-4510,12:18 PM,2008,Veracruz,Hyundai
11/12/2016,11611,12665,25702,34400,616-91-0561,3:07 PM,1992,940,Volvo
5/12/2017,18023,16362,26102,37864,791-19-7333,3:11 PM,1994,MX-6,Mazda
9/27/2017,19847,15887,29741,13750,785-86-6762,3:37 PM,2000,Neon,Plymouth
9/16/2017,16548,18049,23464,37377,787-75-5605,11:17 AM,1997,Camry,Toyota
3/16/2017,14654,25991,25127,21471,868-42-9594,3:58 PM,1994,960,Volvo
9/2/2017,13884,11541,26853,15818,293-28-8265,5:34 AM,1999,Cirrus,Chrysler
7/13/2017,13243,29306,24597,36014,187-54-7203,7:22 PM,2008,Escape,Ford
5/16/2017,12504,16347,28094,39199,228-26-8478,10:20 AM,1998,H1,Hummer
2/26/2017,18836,16405,29452,35095,691-94-2947,1:15 PM,1998,Continental,Lincoln
7/27/2017,17290,20560,27680,31277,819-32-7592,3:50 AM,2009,XJ,Jaguar
4/9/2017,17086,19533,22194,31022,801-35-9003,4:39 AM,1996,960,Volvo
6/30/2017,17290,19332,27612,30647,154-37-2763,8:54 AM,1999,Aurora,Oldsmobile
1/15/2017,18813,13873,24662,34426,145-06-2477,5:10 PM,1994,900,Saab
9/8/2017,11239,27679,26749,37394,430-22-3651,3:56 PM,2012,Mazdaspeed 3,Mazda
8/16/2017,10195,10770,22537,10226,112-24-9949,12:10 AM,1995,7 Series,BMW
9/13/2017,17046,25283,25385,16451,251-95-7062,4:32 AM,2011,5 Series,BMW
9/16/2017,17535,22161,22059,38103,270-69-5483,7:34 PM,2004,Escalade EXT,Cadillac
5/24/2017,11216,16250,24750,35544,165-56-5774,6:56 PM,2007,H2,Hummer
9/8/2017,17299,18142,28753,32388,256-35-7766,2:25 PM,2001,Dakota Club,Dodge
10/11/2016,12560,13772,27920,39933,362-52-6000,2:27 PM,2000,Montero Sport,Mitsubishi
10/18/2016,15314,10505,26218,11706,743-30-3803,1:10 AM,2006,CLS-Class,Mercedes-Benz
3/7/2017,12620,15888,21129,14045,226-25-6962,7:32 PM,1994,Lumina,Chevrolet
5/29/2017,12715,23517,28471,18788,584-09-7679,11:51 AM,2008,Veracruz,Hyundai
8/24/2017,11052,19179,21321,39099,527-29-9825,10:01 PM,2006,Savana,GMC
9/3/2017,16102,18732,20132,33885,534-36-6182,7:28 PM,2008,F-Series,Ford
3/4/2017,18066,19753,29845,27647,362-91-2373,2:12 PM,2001,Avalon,Toyota
8/20/2017,13126,27931,25688,34687,143-23-9394,9:22 PM,1991,Corrado,Volkswagen
3/28/2017,15670,21144,21075,36164,809-31-7038,2:39 PM,1958,600,BMW
7/27/2017,19666,16030,29670,21486,187-89-1834,6:16 PM,2002,Savana 2500,GMC
4/14/2017,10889,19198,23166,31551,899-30-2515,4:06 PM,2000,911,Porsche
5/12/2017,17846,16646,25923,39369,587-83-5035,10:35 AM,2004,Yukon XL 2500,GMC
9/21/2017,19965,14247,21695,39066,713-82-3835,3:51 AM,1995,Sentra,Nissan
12/29/2016,10693,13937,20658,32070,248-96-5235,1:32 AM,1986,Mirage,Mitsubishi
8/31/2017,18646,13831,24693,23053,222-25-5248,11:27 PM,2011,E-Class,Mercedes-Benz
9/30/2017,10701,10371,27713,17766,258-83-3798,2:57 PM,2004,Wrangler,Jeep
5/21/2017,17824,29544,29855,15806,337-10-1359,1:50 PM,2008,X6,BMW
7/27/2017,12783,26536,27074,19398,198-46-9993,12:08 AM,2004,B-Series Plus,Mazda
7/1/2017,14127,16542,23232,18789,458-14-6079,7:39 AM,1994,Ram Van B150,Dodge
4/29/2017,10797,28213,28436,31674,824-93-2152,2:24 AM,1996,Viper,Dodge
8/5/2017,14916,23571,21592,25750,121-54-8742,12:29 PM,2007,Rainier,Buick
2/20/2017,18775,21515,23572,17232,838-94-7644,6:32 AM,2001,rio,Volkswagen
10/20/2016,12888,29183,21211,26788,331-64-9094,2:52 PM,1998,Amigo,Isuzu
9/11/2017,14787,13003,25725,33536,746-03-0244,11:59 AM,2005,Venture,Chevrolet
11/4/2016,13458,20345,20556,33254,664-75-4697,5:35 PM,2008,Express,Chevrolet
3/8/2017,10142,17378,27860,14622,567-52-6418,10:39 AM,2005,S4,Audi
8/31/2017,12629,24845,22047,21382,276-32-3800,5:09 PM,2012,Silverado 2500,Chevrolet
2/2/2017,10218,26676,25881,39837,253-63-7425,8:56 PM,1992,Sportvan G20,Chevrolet
8/22/2017,15444,27387,22473,37139,731-58-5626,6:18 PM,1998,Cabriolet,Volkswagen
12/4/2016,16859,16946,21129,17778,595-93-9632,6:54 PM,1985,Type 2,Volkswagen
12/28/2016,17217,10757,28986,18483,842-40-4251,11:09 PM,1993,Grand Voyager,Plymouth
7/20/2017,12343,22883,29242,22210,771-96-0725,2:05 AM,2008,Reno,Suzuki
9/22/2017,13551,19951,20478,28927,212-87-8363,1:41 PM,2012,Escalade EXT,Cadillac
8/5/2017,10402,25677,20889,24752,160-76-8779,9:34 AM,1989,Leone,Subaru
10/7/2016,17610,17111,25892,26417,888-76-2165,10:42 AM,2006,6 Series,BMW
4/18/2017,10112,16261,27418,39098,309-17-5584,5:37 PM,2010,Q5,Audi
1/13/2017,16971,17365,28627,28533,112-15-5805,4:14 PM,1998,NSX,Acura
8/30/2017,11614,17885,29288,34467,124-60-8606,10:05 PM,2011,Veyron,Bugatti
2/28/2017,19007,24642,26458,35611,853-54-5285,8:05 PM,2010,LaCrosse,Buick
11/11/2016,16819,15178,23696,35583,797-60-2112,7:10 AM,1998,Sonata,Hyundai
2/14/2017,18253,25535,22880,31546,138-94-1120,10:01 PM,2009,F-Series,Ford
2/23/2017,10158,19988,28508,28243,162-42-0785,11:06 AM,1991,XT,Subaru
9/24/2017,11047,28184,26569,22491,526-11-9711,2:47 AM,2002,Escalade EXT,Cadillac
12/18/2016,19393,15874,26748,20177,397-21-1580,10:39 PM,1998,Rodeo,Isuzu
1/4/2017,19010,24770,27502,18661,473-79-3259,3:31 PM,1993,Trans Sport,Pontiac
2/23/2017,18881,29562,20850,24783,346-21-1249,4:11 PM,2006,S2000,Honda
2/4/2017,17423,20932,29841,15617,567-83-0010,2:04 AM,2007,MKX,Lincoln
1/31/2017,10259,21513,23451,30062,520-63-6576,9:48 PM,2000,Avenger,Dodge
9/21/2017,10872,21825,21723,23513,539-35-6023,5:54 AM,1990,Fox,Volkswagen
9/16/2017,15082,12256,23952,36726,649-47-6351,3:56 AM,2012,RDX,Acura
2/4/2017,18559,13219,20317,17733,195-38-3035,8:20 PM,1987,S-Class,Mercedes-Benz
2/5/2017,15423,14871,20371,26145,632-93-3738,8:14 PM,2011,Durango,Dodge
10/1/2017,11055,23673,20449,30202,524-19-0660,1:07 AM,2005,Ascender,Isuzu
2/6/2017,15948,20707,22527,31628,407-34-5828,9:06 AM,2003,C70,Volvo
5/3/2017,17571,17825,24800,33974,777-67-7060,3:47 AM,1992,240,Volvo
6/24/2017,12663,17271,21245,24507,894-65-1810,9:59 AM,2009,Grand Marquis,Mercury
1/20/2017,16734,28894,26174,15426,207-76-6035,12:09 AM,1993,Tempo,Ford
1/11/2017,15540,21523,25739,19534,237-27-0074,6:27 PM,1998,Express 1500,Chevrolet
12/5/2016,16817,17010,25959,21599,737-03-3707,8:40 AM,2013,RX,Lexus
4/3/2017,18204,16548,24861,22117,456-47-0550,10:55 PM,1995,Rodeo,Isuzu
4/5/2017,11867,24447,25164,13232,713-96-3086,12:01 PM,2010,Rabbit,Volkswagen
10/11/2016,13204,17757,26652,27795,703-76-5439,11:25 AM,2007,Cooper,MINI
8/18/2017,18852,23636,20448,19054,776-96-3243,1:02 AM,2008,Aero 8,Morgan
10/18/2016,15296,10377,28867,26700,224-87-2104,7:28 PM,1993,Miata MX-5,Mazda
11/27/2016,15930,12577,25221,14165,393-91-6730,12:18 AM,2000,X5,BMW
12/18/2016,12776,27911,23931,19329,552-39-8337,2:11 PM,1994,Bronco,Ford
9/8/2017,16564,28149,20551,27870,386-30-9768,3:16 PM,1965,Grand Prix,Pontiac
12/7/2016,12592,26343,27230,35346,697-44-0963,8:39 PM,2002,Civic,Honda
2/13/2017,18689,22861,25229,18864,166-62-2394,11:41 AM,1991,Caprice,Chevrolet
2/1/2017,14550,14373,21702,14170,404-98-0350,9:15 AM,1988,Jetta,Volkswagen
7/14/2017,16957,18457,25660,19574,755-35-5728,4:13 AM,2012,300,Chrysler
9/9/2017,19330,26746,24997,25310,389-68-3650,11:02 PM,2006,MPV,Mazda
4/3/2017,10525,15395,29552,14590,413-14-0433,10:49 AM,2012,Grand Vitara,Suzuki
12/14/2016,15903,27683,27738,24456,125-69-8146,11:51 PM,2001,525,BMW
8/9/2017,19055,19986,27980,21775,584-71-9688,8:53 PM,1994,Grand Am,Pontiac
2/9/2017,12690,22886,25985,17088,202-46-2952,4:16 AM,2007,M5,BMW
8/17/2017,18280,13254,21390,26283,462-69-6566,4:49 AM,2009,1 Series,BMW
10/2/2017,17522,19998,26681,27703,664-48-7981,1:41 PM,2008,Elantra,Hyundai
2/18/2017,15859,21259,20282,37510,524-09-8308,5:00 PM,1986,Bronco,Ford
11/7/2016,14259,23944,22602,31285,737-89-4562,7:25 PM,2007,Tucson,Hyundai
10/3/2016,12346,17356,21544,39105,638-47-0006,2:28 PM,1997,S-Class,Mercedes-Benz
2/14/2017,12240,16554,27066,35012,222-84-6626,11:51 PM,2001,Express 2500,Chevrolet
1/12/2017,12466,25313,25355,13734,181-79-6884,11:52 PM,1989,Riviera,Buick
7/26/2017,12982,27901,21045,33131,647-93-3620,8:44 AM,1999,Suburban 1500,GMC
2/4/2017,12284,18574,24394,20821,883-23-6895,11:11 PM,1984,Escort,Ford
6/11/2017,19884,24165,26716,35921,426-33-2467,6:42 AM,2004,Civic,Honda
7/20/2017,19933,10147,29320,33719,234-89-6565,6:26 AM,2008,Pacifica,Chrysler
5/13/2017,12263,10305,20841,22064,714-27-3859,1:01 AM,2012,Equator,Suzuki
5/1/2017,12871,11145,24591,14032,650-23-3524,7:20 PM,2002,S40,Volvo
7/20/2017,12984,20842,20877,39931,121-28-6313,3:14 PM,1997,Express 3500,Chevrolet
7/15/2017,16870,12458,26983,32323,387-25-7110,6:33 PM,2000,SLK-Class,Mercedes-Benz
9/30/2017,11422,17686,29651,14492,267-10-3658,6:33 AM,1996,NSX,Acura
12/25/2016,16691,25914,22076,10987,338-53-5501,11:01 PM,2005,Yukon XL 2500,GMC
2/21/2017,16077,15121,26257,19047,150-93-1828,6:31 AM,1989,900,Saab
11/30/2016,10451,29981,25798,18027,802-40-4346,8:05 AM,2008,Camry Hybrid,Toyota
11/19/2016,17821,14906,20239,33186,273-82-0717,8:32 AM,1996,LS,Lexus
12/22/2016,12780,25890,20625,26507,338-92-0135,7:42 PM,2002,Neon,Dodge
5/21/2017,14295,24521,25969,27991,415-87-5141,6:12 PM,1999,Nubira,Daewoo
5/22/2017,18265,10966,29157,15583,127-69-9954,3:19 AM,1991,SJ,Suzuki
12/3/2016,10532,23892,26716,36066,170-38-8192,6:47 AM,2005,Phaeton,Volkswagen
6/4/2017,16344,29650,23560,33432,282-11-7178,10:16 AM,1989,900,Saab
9/12/2017,14128,17023,24442,38069,344-94-6509,12:44 PM,2008,XLR-V,Cadillac
7/15/2017,19384,26138,20503,38477,565-55-6849,3:57 PM,2007,DB9,Aston Martin
4/29/2017,17952,14836,29562,23702,698-07-5219,2:08 PM,2010,M3,BMW
10/16/2016,11118,16031,21228,34824,155-05-8104,10:00 AM,2008,Yukon XL 1500,GMC
1/13/2017,11007,28182,27850,13292,375-54-2737,7:25 AM,1992,Prizm,Geo
7/13/2017,11524,20470,29189,31081,891-36-9468,1:56 PM,2012,A4,Audi
12/25/2016,18545,28465,23247,33059,244-54-4848,11:26 PM,2012,Impala,Chevrolet
9/12/2017,18253,21905,24958,23006,838-06-8094,6:04 PM,1995,G-Series G30,Chevrolet
6/29/2017,18038,27609,28179,28861,404-36-0508,2:44 AM,1993,Lumina,Chevrolet
5/27/2017,17571,25692,23120,27587,700-85-3793,11:16 PM,2010,Routan,Volkswagen
6/19/2017,18903,17609,22362,13415,797-87-2120,8:42 AM,2008,E150,Ford
